Index,Rank,Previous Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE,staff,Column1,Column2,Column3,Total Students,International Students,Total Faculty Staff,Domestic Staff %,Int'l Staff %
1,1,1,Massachusetts Institute of Technology (MIT),United States of America,Americas,M,CO,VH,Private not for Profit,100.0,4,100.0,2,100.0,16,100.0,7,100.0,63,91.6,153,92.3,130,94.1,98,100.0,7,93.8,33,100,3011.0,11632.0,55.0,3798.0,"11,632","3,798","3,011",45%,55%
412,410,539,Sunway University,Malaysia,Asia,M,CO,VH,Private not for Profit,20.9,592,53.3,228,56.9,324,25.2,636,57.1,405,66.9,298,68.7,279,61.4,671,5.1,801+,61.2,474=,36.7,,,,,"5,046",,598,77%,23%
602,597,631-640,Tulane University,United States of America,Americas,L,FC,HI,Private not for Profit,14.5,701+,13.8,701+,87.2,117,17.5,760,20.3,708,18.5,752,24.6,692,79.2,363,46.2,375,51.8,665=,28.3,,,,,"12,657","1,259","1,893",91%,9%
603,597,570,University of Szeged,Hungary,Europe,L,FC,HI,Private not for Profit,26.2,484,22.7,583,41.9,482,8.9,801+,15.4,801+,56.4,368,60.6,336,75.3,438,29.0,574,69.4,323=,28.3,,,,,"19,813",,"2,018",91%,9%
604,597,596,University of Texas at Dallas,United States of America,Americas,L,FC,VH,Public,19.3,641,33.7,426,5.5,801+,43.0,438,14.4,801+,61.1,335,64.9,305,55.3,765,9.1,801+,48.9,733,28.3,,,,,"29,051",,"1,162",92%,8%
606,604,601-610,National Chengchi University,Taiwan,Asia,L,CO,HI,Public,28.3,444,46.9,279,21.2,801+,3.4,801+,38.0,516,36.2,532,41.1,497,12.8,801+,93.3,84,41.4,801+,28.2,,,,,"12,566","1,765",989,86%,14%
607,604,535,University of Eastern Finland,Finland,Europe,L,CO,VH,Public,18.9,649,10.3,701+,45.0,435,35.3,520,39.2,507,12.0,801+,17.9,797,84.0,275,5.6,801+,71.2,297=,28.2,,,,,"12,417",,"1,462",82%,18%
608,607,691-700,University of Siena,Italy,Europe,M,FC,VH,Public,21.4,580,7.8,701+,15.3,801+,60.2,288,4.6,801+,19.7,734,25.8,673,61.2,675,12.3,801+,63.4,433=,28,,,,,"8,706",,623,98%,2%
612,609,741-750,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia,Asia,M,FO,VH,Public,17.2,701+,9.9,701+,23.6,760,57.9,300,32.1,561,19.0,746,21.1,747,61.6,668,5.2,801+,51.4,675=,27.9,,,,,"8,154",680,624,87%,13%
614,613,539,Applied Science University - Bahrain,Bahrain,Asia,S,FO,VH,Private not for Profit,26.6,473,29.4,485,51.6,367,4.5,801+,100.0,14,62.3,324,46.5,447,12.3,801+,11.9,801+,23.9,801+,27.8,,,,,"1,675",350,176,14%,86%
